,item_id,status,type,uploader_user_id,created,language
5196,6001ea8a01ca2000178766c6,APPROVED,bikevault,1sAWLz3hknfk7E6uGVSXNpMxGiv1,2021-01-15 19:18:34.012,en
5197,6001e8cfef26370018afecee,REJECTED,training,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 19:11:11.722,en
5198,6001e818c7955600175b45e9,APPROVED,training,PNIlG1lOYAOF2aw9sjDmtLrbu1d2,2021-01-15 19:08:08.196,en
5199,6001e7c306640000183bcd79,APPROVED,gcninspiration,ouggvOctBPdqg3uc5x2wl4GuGKi1,2021-01-15 19:06:43.148,en
5200,6001e776ef26370018afeceb,APPROVED,gcninspiration,IMD9g365fSh9LskTx6bYUynKner1,2021-01-15 19:05:26.555,en
5201,6001e70601ca2000178766c0,APPROVED,bikevault,D0Sry2QXGJTAjMV6KmiIxjm7zO63,2021-01-15 19:03:34.666,gd
5202,6001e633ef26370018afece8,APPROVED,bikevault,1nKjTmkw0MPiAgJnPjCDWUQ49kz2,2021-01-15 19:00:03.183,en
5203,6001e5baef26370018afece6,APPROVED,bikevault,FVdgHBtsjyX8aQq1SqxyVHVDy4e2,2021-01-15 18:58:02.966,en
5204,6001e4f9ef26370018afece4,APPROVED,gcninspiration,RN33vh9bJeV2QN9gw992V0teIXm1,2021-01-15 18:54:49.449,en
5205,6001e3b8ef26370018afecdc,APPROVED,buyupgrades,4qKfNlJ8egYum6iKsCPeZw7UEGN2,2021-01-15 18:49:28.382,en
5206,6001e2b201ca2000178766b9,APPROVED,gcninspiration,9fARghIk3tXQ393ilRipcUQgdHw1,2021-01-15 18:45:06.764,en
5207,6001e02f06640000183bcd6e,APPROVED,hackorbodge,tuAu7YMuwBZyFecIPHfAFBBLR7M2,2021-01-15 18:34:23.594,en
5208,5ffc3768e465a90011d2e271,APPROVED,news,emvfp9uUR4N0NIlHTe7DYjtrskJ2,2021-01-15 18:32:23.079,en
