,user_id,settings,following
35,6aEvpL1s8PaXbIo2LVHM4yfTTXR2,,"['6p3zlJIotpR7QbRxWFmLuYoiUx13', '9iS7K25YVnVCOWbCIzmRPIacgMx1', 'Dyg7o5mbHJWBDkqR0vVa8CHRyGk1', 'McGea4U9DWT70YE7FvsHLoFPOeY2', 'Nr2w7Os5MyWfklfcL27KPjUWyUM2', 'RCf7Y0obn8awLFsGVoI5ckjWUNS2', 'YNtN6UDiUdSGQOaUPK7KFEGcxAS2', 'ZKytCcoXyMh3G4gIlZhWUhlKyqz1', 'g7zenY1KxXMAFmeSi7CGYV5BZ1H3', 'hkvD7h4GxadmEMjHp4CNs07xWP73', 'kafGod0XutXHhTsoLNiNt2A8BOt1', 'kiofa8dP9pcO0HkNFVPuwslvSJv2', 'lVXLDDQr0Bc4f9Jd9hrRllb4m5j1', 'oVwDBUlfsZV62lEUcoZjptaX6yk2', 'pZAW80RmkOMwMD29A84hUAsk2pB3', 't4JZ6IFh06dxn2FPqTXDECnhNZm1', 'ujhdO7HiSdS4461Jy7lrFBI3etp2']"
36,eIwo4wJWO8PlCfVIm7J6qyQ2QTt1,,"['5FJuow5NOqVBMxO4J7N4lc6Lqpu2', 'NI4SDrnUmGW3mA9zjgKP1zHHVDz1', 'RdDJ9IxvsjdoXyPvt3S0xyh36mh1', 'UDomyaYneYOfof2MDjSduhwGzFC3', 'UiFjiy1Z4QX2XEuYT6rkkKWeEGS2', 'gqlQozj5L2aC4lYD0eAzrvtP6Aw2', 'i9Lwymw7WYUAFBGNKJTL9WrdKwp1', 'ow4YmLg2brZBm8A5SUU18Ip4FzD3', 't5kGID89iIRKkE0MyjWmsT7s3mA3', 'v42ESYchAdWXZ0qA9YWkqIMdtml1']"
37,GLeDn8ZP83dJkoUeqnKdKtcQVIO2,,['7xOAZGh1nAU37AOJBesywG3gSNR2']
38,q7YsljR6SVStF4GIph8oI71EuOd2,,"['OLkE1Ke5ahafC4ZhGrIdhSdMnn12', 'SGpnSRQpTHcXXtR1gnW8Ahg0GOh1', 'hGltzrmjyLXsawDXHzyHzHeyLZ83', 'rIWlbayNfcdoezS9bY6Bk3yOoNQ2', 'y674P7nbFFXpxYBeyyKC9Q9yRDu2']"
39,iCnbwexz07OauNzaDgGnVVoeEgn2,,"['hkvD7h4GxadmEMjHp4CNs07xWP73', 'xkIjBBWN3GW3nSHIG208V0ejJwC2']"
40,Q4tcAGrXnEVywpPmWegzlNcC1s73,{'understoodLanguages': [‘ja']},['zI5IXOFO5VZfa9Gi3TwKiKuZAzh1']
41,jmonwUQMwogWq1EPLUeuL5jmgCw1,,"['9OTFoKR9VyYrpgxfxuY0GpF4Jrb2', 'DsT3KWGdKoOJrBLNEF8unZ4CsAF2', 'F6ICqZZBB5M31HVe5bvmenO4irR2', 'gJyQGIDXZjYcQehszJDdcacAxj53', 'md9oEli89XOp2aPZ3YW7WlAAJ0p2', 'tSRuYWrS1jRlawo0tcxJA2EjUDT2']"
42,Zu6zEPOtoJXRyu4H2Q5qurAqmkQ2,,['2o9BWIPrMvPm88CHb5BtU9GarEE2']
43,SwqPGQU8cbMU4As8CnQQsXCxjcH3,,"['WKlmaJsVmyYYG0uVb2UG4rssq9s1', 'nsssUuGEN2Y59dFOvEqYMDQnNm93']"
44,Z6wid0mr9QQTWV7i4bixQcLzLWi2,{'understoodLanguages': ['en-GB']},['IKwoAjuAmYWrN1hrcWvHPgkuLn02']
45,upeO64hKn7OnjABokfd4PWFhWS03,,['bI3C4ZAbj5hTO2IKwvHhIDK6nFd2']
46,sM0UIPOQtiaIvJEusc8diCAJzOz1,,['8q6HWr7KnCQ1HY4LKTDNsWMZR6b2']
47,yGd3GtoSbEP45fHaUb9bzd1gQfz1,,
48,WLqEgFv9atXvzPGJFfcmHuSZnOh2,{'understoodLanguages': [‘ja']},['pQd6KU0D0IaxWGPBuA1VoujLfVA3']
49,VsAQNX5buMWV7QC2Dd4MRD9lnP12,,['J5KdhRi8OHOZ9viDvXlq88roEKj2']
50,le7r4aBroUVua45wNeQTgEnIqjn2,{'understoodLanguages': [‘ja']},"['56DTFJROsFfhQcXjUm6Kj3YDOZt1', 'NWRyhC9M9QbmRTOK3njszcIQjP23', 'nyGhByZuGKP90MdgttdqZnM6XRD2']"
51,uuVRUpA3ywTp24ENuXKlU9YPyIf1,,['zofcOLvDPXcNNNF0LBv1vc61nxj2']
52,V6SJPr976zdG1gHIzqWCveJB1df2,,['VWaj44JrubcNqfOGW6woMROa0i92']
53,nvYSGsjE4PZcwRp5KHgBrrmxr6i2,,['yNbxcva1mFOVZ0jHl3DwwCb8x2T2']
54,8BfdLPpGkRVS9iI7MdOiQeJKOiJ3,,['dTQmllIOcEaOKHA6hLwbBMnEQUZ2']
55,rFvyRNhzX0XQLYlGqUULLwjb2552,{'understoodLanguages': [‘ja']},
56,AuXe2ryq9WUWtkoM8I4gej48lph2,,
57,49og5oDnaSVvmsECjlDAoueRsxw1,,
58,M4441FJUCgeMB7MpSEdp8QUTvmx1,{'understoodLanguages': ['en-GB']},
